sample_id,source_id,has_band_A_spectrum,has_band_B_spectrum,sampling_strategy,sampling_depth_cm,geo_zone_macro,geo_zone_micro,geo_zone_meso,land_cover_type,biome,parent_rock_type,property_particle_coarse,property_particle_fine,property_organic_content,property_acidity_index,cation_Ca,cation_Mg,cation_Na,cation_exchange_capacity,latitude,longitude,spectral_band_A_PC_1,spectral_band_A_PC_2,spectral_band_A_PC_3,spectral_band_A_PC_4,spectral_band_A_PC_5,spectral_band_A_PC_6,spectral_band_A_PC_7,spectral_band_A_PC_8,spectral_band_A_PC_9,spectral_band_A_PC_10,spectral_band_A_PC_11,spectral_band_A_PC_12,spectral_band_A_PC_13,spectral_band_A_PC_14,spectral_band_A_PC_15,spectral_band_B_PC_1,spectral_band_B_PC_2,spectral_band_B_PC_3,spectral_band_B_PC_4,spectral_band_B_PC_5,spectral_band_B_PC_6,spectral_band_B_PC_7,spectral_band_B_PC_8,spectral_band_B_PC_9,spectral_band_B_PC_10,spectral_band_B_PC_11,spectral_band_B_PC_12,spectral_band_B_PC_13,spectral_band_B_PC_14,spectral_band_B_PC_15
train_00001,Source_01,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,2494.42246,386.41557,20.387178,,22.619448,24.504402,,101.473357,,,0.4436153361683079,0.34447665216312057,0.3572177380061835,-0.18313568221805127,0.0988923120022197,-0.023163434119254565,0.04751651709588848,-0.002078677978062073,-0.02881049272144121,0.0018208784997182756,0.007825917864664286,0.0069599762794849635,0.013384506093859548,0.010249382169659692,-0.0017072551648791728,,,,,,,,,,,,,,,
train_00002,Source_10,YES,NO,Auger,0-20,MW,Loc_011,State_10,Savannah,Cerrado,Igneous Rock,,,30.74257,15.079631999999998,,,,,-28.392778,-49.396944,-2.026506190600271,0.5127641570461465,-0.59884511830894,0.14326868470659776,0.11556695204342879,0.1512554511190135,-0.1910896624798994,-0.17205859367556306,0.042943790520048854,-0.04972167306398441,-0.013936344057719156,-0.041194962557269385,0.023164720925953147,0.011975192595803978,-0.042889023440980674,,,,,,,,,,,,,,,
train_00003,Source_04,YES,NO,Auger,0-20,S,Loc_001,State_06,Unknown,Unknown,Unknown,,,25.937020900000004,,,,,,,,-1.9739902539951841,1.2607343539056177,0.3867513067148144,0.3299021441584562,-0.06278441943665969,-0.05266901721960341,-0.07039673134523328,-0.01428031383574855,-0.07484450145818226,-0.021119970186781217,0.07320631491469916,-0.09472900371765414,-0.028709043633799704,-0.024015021571554156,-0.0034236546020892035,,,,,,,,,,,,,,,
train_00004,Source_02,YES,NO,Auger,0-20,N,Unknown,State_07,Unknown,Amazonia,Igneous Rock,1476.5473,1507.9632,29.124540000000003,13.822996,6.28318,6.28318,,137.915801,,,3.604673101413882,-2.455634679295672,-0.37950376751943693,1.0566578568912075,0.02463840513171046,0.15155512554840056,0.3368307176993073,0.06272367293783301,0.029661105280959457,-0.08485139199185979,0.037626195123662505,0.022942148147751053,-0.03537265308398697,-0.0085011812461737,-0.0021197353447884107,,,,,,,,,,,,,,,
train_00005,Source_04,YES,NO,Auger,0-20,S,Loc_001,State_06,Unknown,Unknown,Unknown,,,9.5949179,,,,,,,,-2.326931842393751,0.19005951311950814,0.06737251670587953,-0.16049901808431782,0.22932627709488163,0.16182602839579255,0.15503671429979513,0.09871360766444288,0.05292783915605359,-0.08707763329869812,-0.07229815617419202,-0.0037916769626297614,-0.012960363508740221,-0.00676875328840119,-0.014017917186348577,,,,,,,,,,,,,,,
train_00006,Source_01,YES,NO,Auger,0-20,SE,Unknown,State_01,Savannah,Cerrado,Igneous Rock,2843.13895,219.91129999999998,22.814223000000002,,53.092870999999995,26.703515,,106.81406,-8.1227,-49.8979,0.7188646649847403,1.269379506545937,-0.008896386876551782,0.23101884903439018,0.03680165626231728,-0.012131177496141149,0.01366724248999828,0.04695066882962594,0.01711011314692148,-0.0026401488511851043,0.0425702591714938,0.007558347144861839,-0.005681820844105075,-0.015989979650788484,0.02375227047357382,,,,,,,,,,,,,,,
train_00007,Source_09,YES,YES,Auger,0-20,SE,Unknown,State_01,Unknown,Unknown,Unknown,2792.87351,314.159,11.32621,,37.699079999999995,18.849539999999998,,98.64592599999999,,,10.605846080266405,0.8182380762323954,0.02548798656505143,-0.3381553742851809,-0.5228420444190118,-0.22010424130325695,0.1582047677110688,-0.09751080264641405,0.003803725073239884,0.0268997787551822,-0.05030242779263621,-0.06073007399833764,-0.011074705867847007,0.023417338927335267,-0.04440887803899482,0.5040671645449581,-0.04094416516502844,-0.05747542729776446,0.006056105894864455,0.12350289548964094,-0.07884186293279821,0.020460821152468365,-0.041751547581227504,-0.004350324215102604,0.0038135786339882176,-0.004818242179195517,-0.005403467428475171,0.012104793455083153,-0.011544901540947387,-0.0033831332296400778
train_00008,Source_07,YES,NO,Auger,0-20,S,Loc_003,State_08,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,735.13206,552.91984,120.5108744,,230.27854699999997,102.415834,,542.866752,,,-6.383804125521536,-0.5567652663659765,-0.03163908735760568,-0.008970481296206008,-0.4176550562368141,-0.011413776910826363,-0.0007930585562178693,-0.038291438573721207,-0.0622472896323897,-0.009071236799224235,-0.04617548000621681,0.000829597721921887,0.001095517593675554,-0.0006880441013376758,0.014473894460842402,,,,,,,,,,,,,,,
train_00009,Source_18,YES,YES,Profile,0-20,NE,Loc_043,State_13,Steppe,Caatinga,Metamorphic Rock,,,41.567190700000005,,,,,,-29.62889424,-53.80125998,10.765568504176741,0.003502647699392293,0.2324524529663174,-0.22261337721133925,0.4128109166592032,-0.19583343974324952,-0.1475546334769358,-0.18735261358968328,-0.057944935849207915,0.10014627434623627,0.026451917485886933,0.10995743355635833,0.04254257671872396,-0.02677353451806653,-0.01879543517159023,-0.02468852909223696,0.06093211437901934,-0.027850093450978355,-0.0006894641378233624,-0.0038661029256070803,-0.018517893937900307,0.0056395998555133315,0.02535710467459619,-0.0006971591664419878,0.01327499092148632,0.001979955317372741,0.0016661178704943686,-0.005301415443769231,-0.001208078530161638,-0.0026481725893816458
train_00010,Source_02,YES,NO,Auger,0-20,MW,Unknown,State_02,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,2764.5992,251.3272,24.27045,12.252201,3.14159,3.14159,,99.588403,-27.21911102,-50.55957995,0.5672905322338132,1.420213154586657,-0.3150652305870537,-0.0009499524194732518,0.1210316037079522,0.006297101774656875,0.0066885706512876215,0.11916301897801991,-0.02472492715214276,-0.05352095524526544,-0.004207689316706899,-0.02510342533656591,-0.016279597898726524,-0.015614394769464286,0.021180051686432593,,,,,,,,,,,,,,,
